id	label	description	x	y	cluster	weight<Occurrences>	score<Avg publication year>	score<Avg citations>
28	data analysis	<table><tr><td>Author keyword:</td><td>data analysis</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P216, P230, P382, P480, P482</td></tr></table>	-0.4339	0.901	1	5	2023.0	1.4
29	finance	<table><tr><td>Author keyword:</td><td>finance</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P219, P297, P318, P336, P487</td></tr></table>	-0.5	0.866	1	5	2021.0	13.2
30	quantitative trading	<table><tr><td>Author keyword:</td><td>quantitative trading</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P306, P317, P347, P379, P437</td></tr></table>	-0.5633	0.8262	1	5	2020.2	9.4
31	risk management	<table><tr><td>Author keyword:</td><td>risk management</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P099, P224, P263, P401, P425</td></tr></table>	-0.6235	0.7818	1	5	2021.0	24.4
32	smart contract	<table><tr><td>Author keyword:</td><td>smart contract</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P104, P105, P108, P109, P277</td></tr></table>	-0.6802	0.7331	1	5	2023.2	10.6
33	smart grid	<table><tr><td>Author keyword:</td><td>smart grid</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P081, P127, P362, P419, P479</td></tr></table>	-0.7331	0.6802	1	5	2022.8	18.2
34	social media	<table><tr><td>Author keyword:</td><td>social media</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P190, P271, P295, P347, P501</td></tr></table>	-0.7818	0.6235	1	5	2019.4	82.2
35	stock prediction	<table><tr><td>Author keyword:</td><td>stock prediction</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P044, P118, P162, P273, P310</td></tr></table>	-0.8262	0.5633	1	5	2024.0	20.8
36	stock price prediction	<table><tr><td>Author keyword:</td><td>stock price prediction</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P048, P070, P363, P364, P506</td></tr></table>	-0.866	0.5	1	5	2024.6	0.4
37	time series forecasting	<table><tr><td>Author keyword:</td><td>time series forecasting</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P153, P363, P365, P374, P433</td></tr></table>	-0.901	0.4339	1	5	2024.6	3.2
38	algorithmic trading	<table><tr><td>Author keyword:</td><td>algorithmic trading</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P052, P086, P167, P284</td></tr></table>	-0.9309	0.3653	1	4	2025.0	0.0
39	data trading	<table><tr><td>Author keyword:</td><td>data trading</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P022, P094, P115, P238</td></tr></table>	-0.9556	0.2948	1	4	2024.75	0.75
40	decision-making	<table><tr><td>Author keyword:</td><td>decision-making</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P329, P405, P482, P502</td></tr></table>	-0.9749	0.2225	1	4	2022.0	5.0
41	demand response	<table><tr><td>Author keyword:</td><td>demand response</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P403, P447, P448, P489</td></tr></table>	-0.9888	0.149	1	4	2021.75	31.0
42	energy trading	<table><tr><td>Author keyword:</td><td>energy trading</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P020, P127, P192, P362</td></tr></table>	-0.9972	0.0747	1	4	2023.0	3.5
43	financial market	<table><tr><td>Author keyword:</td><td>financial market</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P262, P299, P308, P405</td></tr></table>	-1.0	0.0	1	4	2020.5	9.0
44	financial technology	<table><tr><td>Author keyword:</td><td>financial technology</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P064, P228, P389, P453</td></tr></table>	-0.9972	-0.0747	1	4	2021.5	7.0
45	genetic algorithm	<table><tr><td>Author keyword:</td><td>genetic algorithm</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P012, P226, P327, P499</td></tr></table>	-0.9888	-0.149	1	4	2020.5	7.25
46	large language model	<table><tr><td>Author keyword:</td><td>large language model</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P116, P207, P259, P389</td></tr></table>	-0.9749	-0.2225	1	4	2025.0	1.0
47	long short-term memory (lstm)	<table><tr><td>Author keyword:</td><td>long short-term memory (lstm)</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P243, P363, P428, P506</td></tr></table>	-0.9556	-0.2948	1	4	2023.5	5.5
48	optimization	<table><tr><td>Author keyword:</td><td>optimization</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P077, P137, P203, P482</td></tr></table>	-0.9309	-0.3653	1	4	2021.5	4.0
49	portfolio optimization	<table><tr><td>Author keyword:</td><td>portfolio optimization</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P012, P284, P321, P461</td></tr></table>	-0.901	-0.4339	1	4	2021.25	7.5
50	predictive analytics	<table><tr><td>Author keyword:</td><td>predictive analytics</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P050, P058, P062, P106</td></tr></table>	-0.866	-0.5	1	4	2025.0	0.0
51	privacy	<table><tr><td>Author keyword:</td><td>privacy</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P008, P314, P367, P490</td></tr></table>	-0.8262	-0.5633	1	4	2022.5	4.5
52	real-time data	<table><tr><td>Author keyword:</td><td>real-time data</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P073, P128, P368, P433</td></tr></table>	-0.7818	-0.6235	1	4	2025.0	0.0
53	anomaly detection	<table><tr><td>Author keyword:</td><td>anomaly detection</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P076, P288, P493</td></tr></table>	-0.7331	-0.6802	1	3	2020.333	1.0
54	augmented reality	<table><tr><td>Author keyword:</td><td>augmented reality</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P020, P151, P280</td></tr></table>	-0.6802	-0.7331	1	3	2024.333	2.333
55	big data analytics	<table><tr><td>Author keyword:</td><td>big data analytics</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P073, P097, P500</td></tr></table>	-0.6235	-0.7818	1	3	2024.0	3.667
56	bitcoin	<table><tr><td>Author keyword:</td><td>bitcoin</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P128, P161, P288</td></tr></table>	-0.5633	-0.8262	1	3	2022.0	4.0
57	business intelligence	<table><tr><td>Author keyword:</td><td>business intelligence</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P058, P216, P382</td></tr></table>	-0.5	-0.866	1	3	2021.667	1.667
58	consortium blockchain	<table><tr><td>Author keyword:</td><td>consortium blockchain</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P105, P109, P391</td></tr></table>	-0.4339	-0.901	1	3	2022.333	13.333
59	deep reinforcement learning	<table><tr><td>Author keyword:</td><td>deep reinforcement learning</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P161, P200, P239</td></tr></table>	-0.3653	-0.9309	1	3	2022.0	39.667
60	electronic markets	<table><tr><td>Author keyword:</td><td>electronic markets</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P096, P322, P407</td></tr></table>	-0.2948	-0.9556	1	3	2019.0	2.333
61	feature engineering	<table><tr><td>Author keyword:</td><td>feature engineering</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P035, P207, P312</td></tr></table>	-0.2225	-0.9749	1	3	2021.0	6.0
62	forecasting	<table><tr><td>Author keyword:</td><td>forecasting</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P044, P045, P062</td></tr></table>	-0.149	-0.9888	1	3	2024.667	0.667
63	gamification	<table><tr><td>Author keyword:</td><td>gamification</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P199, P446, P458</td></tr></table>	-0.0747	-0.9972	1	3	2023.0	3.0
64	hci	<table><tr><td>Author keyword:</td><td>hci</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P229, P301, P302</td></tr></table>	-0.0	-1.0	1	3	2024.333	1.0
65	interoperability	<table><tr><td>Author keyword:</td><td>interoperability</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P019, P092, P333</td></tr></table>	0.0747	-0.9972	1	3	2023.333	9.333
66	investor sentiment	<table><tr><td>Author keyword:</td><td>investor sentiment</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P158, P295, P323</td></tr></table>	0.149	-0.9888	1	3	2022.667	108.0
67	large language models	<table><tr><td>Author keyword:</td><td>large language models</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P180, P244, P254</td></tr></table>	0.2225	-0.9749	1	3	2025.0	0.0
68	natural language processing	<table><tr><td>Author keyword:</td><td>natural language processing</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P180, P244, P347</td></tr></table>	0.2948	-0.9556	1	3	2023.0	1.333
69	portfolio	<table><tr><td>Author keyword:</td><td>portfolio</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P296, P297, P359</td></tr></table>	0.3653	-0.9309	1	3	2023.333	0.667
70	prediction	<table><tr><td>Author keyword:</td><td>prediction</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P307, P364, P427</td></tr></table>	0.4339	-0.901	1	3	2023.667	0.667
71	recommendation system	<table><tr><td>Author keyword:</td><td>recommendation system</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P041, P160, P312</td></tr></table>	0.5	-0.866	1	3	2019.0	6.667
72	requirements engineering	<table><tr><td>Author keyword:</td><td>requirements engineering</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P083, P329, P421</td></tr></table>	0.5633	-0.8262	1	3	2019.667	3.333
73	situation awareness	<table><tr><td>Author keyword:</td><td>situation awareness</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P036, P265, P334</td></tr></table>	0.6235	-0.7818	1	3	2017.0	10.667
74	social trading	<table><tr><td>Author keyword:</td><td>social trading</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P221, P228, P359</td></tr></table>	0.6802	-0.7331	1	3	2020.333	14.0
75	stackelberg game	<table><tr><td>Author keyword:</td><td>stackelberg game</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P115, P150, P378</td></tr></table>	0.7331	-0.6802	1	3	2022.333	14.0
76	stock trading	<table><tr><td>Author keyword:</td><td>stock trading</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P021, P045, P147</td></tr></table>	0.7818	-0.6235	1	3	2024.0	1.0
77	stocks	<table><tr><td>Author keyword:</td><td>stocks</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P106, P297, P307</td></tr></table>	0.8262	-0.5633	1	3	2025.667	0.0
78	sustainability	<table><tr><td>Author keyword:</td><td>sustainability</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P113, P283, P344</td></tr></table>	0.866	-0.5	1	3	2020.333	2.0
79	text mining	<table><tr><td>Author keyword:</td><td>text mining</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P097, P120, P287</td></tr></table>	0.901	-0.4339	1	3	2022.0	5.333
80	time series analysis	<table><tr><td>Author keyword:</td><td>time series analysis</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P133, P342, P385</td></tr></table>	0.9309	-0.3653	1	3	2023.333	2.0
81	traceability	<table><tr><td>Author keyword:</td><td>traceability</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P199, P333, P406</td></tr></table>	0.9556	-0.2948	1	3	2022.0	9.0
82	trust	<table><tr><td>Author keyword:</td><td>trust</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P274, P281, P490</td></tr></table>	0.9749	-0.2225	1	3	2022.0	13.0
83	user interface	<table><tr><td>Author keyword:</td><td>user interface</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P054, P215, P248</td></tr></table>	0.9888	-0.149	1	3	2023.667	0.667
84	xai	<table><tr><td>Author keyword:</td><td>xai</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P013, P297, P440</td></tr></table>	0.9972	-0.0747	1	3	2024.333	9.0
