score<Publication year>	score<Citations>
2022.0	3.0
2023.0	6.0
2018.0	6.0
2026.0	0.0
2015.0	1.0
2016.0	6.0
2024.0	0.0
2025.0	2.0
2024.0	5.0
2021.0	21.0
2026.0	0.0
2024.0	18.0
2025.0	0.0
2023.0	1.0
2024.0	14.0
2025.0	1.0
2025.0	0.0
2025.0	0.0
2020.0	42.0
2024.0	5.0
2017.0	0.0
2024.0	9.0
2022.0	11.0
2025.0	0.0
2025.0	0.0
2024.0	18.0
2025.0	0.0
2026.0	0.0
2018.0	1.0
2022.0	12.0
2019.0	99.0
2021.0	19.0
2022.0	7.0
2021.0	0.0
2018.0	0.0
2025.0	0.0
2019.0	1.0
2017.0	1.0
2025.0	1.0
2021.0	66.0
2025.0	0.0
2015.0	0.0
2021.0	10.0
2022.0	8.0
2024.0	5.0
2020.0	2.0
2021.0	11.0
2017.0	0.0
2025.0	0.0
2020.0	0.0
2018.0	13.0
2024.0	0.0
2023.0	0.0
2022.0	2.0
2024.0	0.0
2024.0	5.0
2018.0	4.0
2019.0	10.0
2018.0	19.0
2020.0	10.0
2019.0	30.0
2025.0	0.0
2017.0	30.0
2024.0	12.0
2020.0	0.0
2016.0	1.0
2025.0	0.0
2023.0	20.0
2016.0	20.0
2023.0	8.0
2021.0	9.0
2022.0	7.0
2016.0	2.0
2017.0	0.0
2025.0	0.0
2019.0	42.0
2019.0	3.0
2023.0	1.0
2024.0	0.0
2024.0	0.0
2022.0	3.0
2023.0	1.0
2024.0	0.0
2024.0	0.0
2026.0	0.0
2022.0	39.0
2023.0	34.0
2021.0	23.0
2015.0	3.0
2023.0	7.0
2017.0	38.0
2025.0	0.0
2021.0	1.0
2025.0	0.0
2020.0	17.0
2025.0	0.0
2025.0	0.0
2023.0	18.0
2023.0	2.0
2023.0	5.0
2021.0	31.0
2022.0	0.0
2025.0	0.0
2021.0	87.0
2025.0	4.0
2019.0	2.0
2021.0	14.0
2025.0	0.0
2025.0	0.0
2024.0	8.0
2023.0	1.0
2018.0	104.0
2016.0	3.0
2022.0	0.0
2017.0	146.0
2020.0	84.0
2025.0	0.0
2024.0	2.0
2017.0	0.0
2023.0	0.0
2025.0	4.0
2022.0	2.0
2020.0	12.0
2025.0	0.0
2019.0	58.0
2019.0	2.0
2016.0	24.0
2024.0	8.0
2025.0	0.0
2025.0	1.0
2022.0	1.0
2020.0	18.0
2017.0	73.0
2018.0	0.0
2026.0	0.0
2025.0	0.0
2021.0	2.0
2016.0	24.0
2024.0	5.0
2016.0	0.0
2021.0	17.0
2024.0	1.0
2017.0	36.0
2024.0	0.0
2015.0	0.0
2025.0	0.0
2025.0	9.0
2024.0	3.0
2017.0	6.0
2019.0	0.0
2026.0	0.0
2024.0	0.0
2020.0	0.0
2024.0	0.0
2021.0	29.0
2020.0	2.0
2017.0	324.0
2025.0	0.0
2025.0	0.0
2022.0	5.0
2020.0	15.0
2020.0	1.0
2023.0	2.0
2025.0	1.0
2025.0	0.0
2026.0	0.0
2025.0	0.0
2022.0	14.0
2026.0	0.0
2020.0	8.0
2026.0	0.0
2024.0	5.0
2024.0	9.0
2019.0	17.0
2023.0	0.0
2019.0	11.0
2021.0	48.0
2024.0	1.0
2018.0	0.0
2023.0	1.0
2023.0	0.0
2017.0	22.0
2018.0	0.0
2017.0	4.0
2026.0	0.0
2016.0	0.0
2016.0	21.0
2025.0	0.0
2024.0	0.0
2022.0	1.0
2023.0	2.0
2021.0	0.0
2023.0	0.0
2024.0	6.0
2018.0	6.0
2015.0	9.0
2018.0	39.0
2020.0	4.0
2024.0	39.0
2026.0	0.0
2016.0	10.0
2022.0	0.0
2017.0	3.0
2025.0	0.0
2021.0	42.0
2022.0	0.0
2019.0	4.0
2021.0	8.0
2021.0	16.0
2019.0	15.0
2016.0	0.0
2025.0	3.0
2020.0	0.0
2025.0	0.0
2019.0	17.0
2026.0	0.0
2020.0	25.0
2020.0	2.0
2021.0	3.0
2018.0	3.0
2023.0	0.0
2026.0	0.0
2022.0	2.0
2023.0	7.0
2023.0	3.0
2022.0	4.0
2025.0	0.0
2021.0	1.0
2022.0	0.0
2023.0	0.0
2020.0	0.0
2018.0	23.0
2025.0	0.0
2020.0	4.0
2024.0	1.0
2024.0	0.0
2021.0	0.0
2023.0	2.0
2025.0	13.0
2026.0	0.0
2017.0	5.0
2020.0	9.0
2026.0	0.0
2025.0	0.0
2020.0	14.0
2015.0	4.0
2017.0	11.0
2025.0	0.0
2016.0	4.0
2024.0	4.0
2025.0	0.0
2021.0	1.0
2020.0	3.0
2025.0	3.0
2025.0	0.0
2021.0	5.0
2025.0	0.0
2017.0	0.0
2019.0	2.0
2025.0	11.0
2023.0	2.0
2021.0	52.0
2022.0	6.0
2017.0	13.0
2017.0	21.0
2025.0	0.0
2016.0	143.0
2026.0	0.0
2015.0	85.0
2019.0	1.0
2016.0	41.0
2024.0	1.0
2019.0	1.0
2015.0	0.0
2025.0	0.0
2026.0	0.0
2021.0	4.0
2025.0	3.0
2019.0	2.0
2021.0	8.0
2019.0	13.0
2017.0	4.0
2023.0	2.0
2020.0	15.0
2024.0	7.0
2023.0	0.0
2021.0	8.0
2022.0	2.0
2018.0	13.0
2017.0	4.0
2018.0	0.0
2025.0	0.0
2015.0	5.0
2026.0	0.0
2019.0	27.0
2018.0	1.0
2016.0	83.0
2023.0	27.0
2015.0	0.0
2021.0	0.0
2016.0	2.0
2024.0	0.0
2023.0	61.0
2020.0	7.0
2025.0	0.0
2021.0	1.0
2022.0	8.0
2025.0	0.0
2022.0	0.0
2025.0	4.0
2022.0	0.0
2020.0	2.0
2020.0	36.0
2025.0	0.0
2023.0	17.0
2024.0	2.0
2024.0	0.0
2022.0	3.0
2021.0	2.0
2025.0	2.0
2025.0	0.0
2018.0	3.0
2020.0	1.0
2019.0	3.0
2016.0	0.0
2017.0	1.0
2016.0	0.0
2020.0	5.0
2016.0	15.0
2021.0	2.0
2025.0	0.0
2015.0	4.0
2019.0	17.0
2025.0	1.0
2023.0	12.0
2024.0	1.0
2022.0	8.0
2025.0	0.0
2024.0	6.0
2017.0	19.0
2020.0	17.0
2025.0	0.0
2020.0	71.0
2024.0	3.0
2026.0	0.0
2025.0	0.0
2025.0	48.0
2024.0	0.0
2025.0	0.0
2025.0	0.0
2023.0	0.0
2017.0	1.0
2022.0	1.0
2025.0	0.0
2024.0	4.0
2025.0	0.0
2021.0	3.0
2019.0	0.0
2026.0	0.0
2018.0	0.0
2026.0	0.0
2015.0	0.0
2022.0	1.0
2021.0	6.0
