id	label	description	x	y	cluster	weight<Documents>	score<Avg publication year>	score<Avg citations>
16	Russian Federation	<table><tr><td>Country:</td><td>Russian Federation</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P158, P279, P299, P338, P346, P380, P462, P466</td></tr></table>	-0.901	0.4339	1	8	2021.75	6.5
17	Singapore	<table><tr><td>Country:</td><td>Singapore</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P137, P162, P196, P298, P379, P481, P509, P511</td></tr></table>	-0.964	0.266	1	8	2020.375	17.75
18	Switzerland	<table><tr><td>Country:</td><td>Switzerland</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P231, P233, P263, P287, P322, P360, P410, P476</td></tr></table>	-0.996	0.0896	1	8	2019.5	22.625
19	Canada	<table><tr><td>Country:</td><td>Canada</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P143, P171, P188, P256, P320, P390, P490</td></tr></table>	-0.996	-0.0896	1	7	2020.429	16.857
20	Indonesia	<table><tr><td>Country:</td><td>Indonesia</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P074, P099, P161, P215, P220, P269, P389</td></tr></table>	-0.964	-0.266	1	7	2023.429	6.857
21	Poland	<table><tr><td>Country:</td><td>Poland</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P081, P103, P294, P301, P302, P355, P463</td></tr></table>	-0.901	-0.4339	1	7	2023.714	10.857
22	Portugal	<table><tr><td>Country:</td><td>Portugal</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P085, P086, P254, P382, P424, P446, P464</td></tr></table>	-0.809	-0.5878	1	7	2022.286	3.429
23	United Arab Emirates	<table><tr><td>Country:</td><td>United Arab Emirates</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P007, P093, P100, P225, P333, P414, P457</td></tr></table>	-0.6911	-0.7228	1	7	2021.857	30.429
24	Greece	<table><tr><td>Country:</td><td>Greece</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P014, P108, P141, P343, P480</td></tr></table>	-0.5509	-0.8346	1	5	2022.2	8.0
25	Malaysia	<table><tr><td>Country:</td><td>Malaysia</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P058, P185, P311, P345, P488</td></tr></table>	-0.393	-0.9195	1	5	2023.4	10.2
26	Netherlands	<table><tr><td>Country:</td><td>Netherlands</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P113, P203, P406, P412, P440</td></tr></table>	-0.2225	-0.9749	1	5	2019.6	20.8
27	Saudi Arabia	<table><tr><td>Country:</td><td>Saudi Arabia</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P024, P284, P322, P330, P414</td></tr></table>	-0.0449	-0.999	1	5	2020.8	2.0
28	Philippines	<table><tr><td>Country:</td><td>Philippines</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P021, P172, P189, P510</td></tr></table>	0.1342	-0.9909	1	4	2022.5	1.25
29	Thailand	<table><tr><td>Country:</td><td>Thailand</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P037, P187, P237, P247</td></tr></table>	0.309	-0.9511	1	4	2021.75	3.0
30	Ukraine	<table><tr><td>Country:</td><td>Ukraine</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P240, P369, P376, P422</td></tr></table>	0.4739	-0.8806	1	4	2022.25	4.75
31	Viet Nam	<table><tr><td>Country:</td><td>Viet Nam</td></tr><tr><td>Records:</td><td>4</td></tr><tr><td>Example PaperIDs:</td><td>P008, P044, P439, P468</td></tr></table>	0.6235	-0.7818	1	4	2020.75	20.75
32	Bangladesh	<table><tr><td>Country:</td><td>Bangladesh</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P151, P388, P428</td></tr></table>	0.7531	-0.6579	1	3	2020.667	8.0
33	Belgium	<table><tr><td>Country:</td><td>Belgium</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P011, P113, P266</td></tr></table>	0.8584	-0.5129	1	3	2022.0	7.0
34	Finland	<table><tr><td>Country:</td><td>Finland</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P028, P137, P229</td></tr></table>	0.9362	-0.3514	1	3	2021.0	5.333
35	Pakistan	<table><tr><td>Country:</td><td>Pakistan</td></tr><tr><td>Records:</td><td>3</td></tr><tr><td>Example PaperIDs:</td><td>P214, P311, P426</td></tr></table>	0.9839	-0.1786	1	3	2023.333	6.333
